Data;Localidade;Natureza;target
04/06/2017;2;2017;19686,06175
05/06/2017;2;2017;22214,41565
06/06/2017;2;2017;23528,06282
07/06/2017;2;2017;22922,04299
08/06/2017;2;2017;23512,44863
09/06/2017;2;2017;24040,6954
10/06/2017;2;2017;21753,61829
11/06/2017;2;2017;19322,78222
12/06/2017;2;2017;22180,65932
13/06/2017;2;2017;23588,83454
14/06/2017;2;2017;23709,24446
15/06/2017;2;2017;20680,40264
16/06/2017;2;2017;21716,46641
17/06/2017;2;2017;21376,58714
18/06/2017;2;2017;19922,51747
19/06/2017;2;2017;22244,05445
20/06/2017;2;2017;22692,96626
21/06/2017;2;2017;22792,45957
22/06/2017;2;2017;22209,81287
23/06/2017;2;2017;21824,69729
24/06/2017;2;2017;20156,76564
25/06/2017;2;2017;18995,77269
26/06/2017;2;2017;21373,10135
27/06/2017;2;2017;20515,05665
28/06/2017;2;2017;21170,35662
29/06/2017;2;2017;20503,41452
30/06/2017;2;2017;21423,00936
01/07/2017;2;2017;19690,44635
02/07/2017;2;2017;17981,29374
03/07/2017;2;2017;21450,48374
04/07/2017;2;2017;21811,28903
05/07/2017;2;2017;20479,31485
06/07/2017;2;2017;20440,59334
07/07/2017;2;2017;22358,09165
08/07/2017;2;2017;21415,40522
09/07/2017;2;2017;19182,27737
10/07/2017;2;2017;21393,40186
11/07/2017;2;2017;22315,93661
12/07/2017;2;2017;22321,71885
13/07/2017;2;2017;21382,13504
14/07/2017;2;2017;21424,20678
15/07/2017;2;2017;21123,15294
16/07/2017;2;2017;19967,75118
17/07/2017;2;2017;21636,4538
18/07/2017;2;2017;21215,44477
19/07/2017;2;2017;21235,61983
20/07/2017;2;2017;22063,3027
21/07/2017;2;2017;20770,08772
22/07/2017;2;2017;20278,90072
23/07/2017;2;2017;19144,32386
24/07/2017;2;2017;21101,24267
25/07/2017;2;2017;20372,96283
26/07/2017;2;2017;20840,07071
27/07/2017;2;2017;20770,00496
28/07/2017;2;2017;21185,07029
29/07/2017;2;2017;19622,38931
30/07/2017;2;2017;17857,54276
31/07/2017;2;2017;20297,28347
01/08/2017;2;2017;20307,43556
02/08/2017;2;2017;20460,71266
03/08/2017;2;2017;21202,53064
04/08/2017;2;2017;22058,65334
05/08/2017;2;2017;20312,86682
06/08/2017;2;2017;17558,77463
07/08/2017;2;2017;19745,65187
08/08/2017;2;2017;20600,6638
09/08/2017;2;2017;21355,4378
10/08/2017;2;2017;20874,32476
11/08/2017;2;2017;21146,12594
12/08/2017;2;2017;20009,37601
13/08/2017;2;2017;17616,1631
14/08/2017;2;2017;20751,1106
15/08/2017;2;2017;21124,69811
16/08/2017;2;2017;22090,02564
17/08/2017;2;2017;22381,89157
18/08/2017;2;2017;22554,30887
19/08/2017;2;2017;21082,12323
20/08/2017;2;2017;19950,97112
21/08/2017;2;2017;22048,82573
22/08/2017;2;2017;20433,0898
23/08/2017;2;2017;21085,1184
24/08/2017;2;2017;21457,76831
25/08/2017;2;2017;21857,24613
26/08/2017;2;2017;19736,92814
27/08/2017;2;2017;18237,86603
28/08/2017;2;2017;20488,36145
29/08/2017;2;2017;21356,69043
30/08/2017;2;2017;22036,06499
31/08/2017;2;2017;22723,8135
01/09/2017;2;2017;21957,15717
02/09/2017;2;2017;20151,60847
03/09/2017;2;2017;18320,78994
04/09/2017;2;2017;21177,20608
05/09/2017;2;2017;21750,91227
06/09/2017;2;2017;23022,93182
07/09/2017;2;2017;21230,23457
08/09/2017;2;2017;21628,89831
09/09/2017;2;2017;20841,5594
10/09/2017;2;2017;18937,39463
11/09/2017;2;2017;21021,85937
12/09/2017;2;2017;21022,15827
13/09/2017;2;2017;21688,84538
14/09/2017;2;2017;21923,10188
15/09/2017;2;2017;22145,7109
16/09/2017;2;2017;20988,05336
17/09/2017;2;2017;19424,38559
18/09/2017;2;2017;22425,28895
19/09/2017;2;2017;21673,07732
20/09/2017;2;2017;21731,1032
21/09/2017;2;2017;22220,61626
22/09/2017;2;2017;22582,14293
23/09/2017;2;2017;20851,49863
24/09/2017;2;2017;19445,35346
25/09/2017;2;2017;21727,56845
26/09/2017;2;2017;22133,17148
27/09/2017;2;2017;22391,14712
28/09/2017;2;2017;22983,27395
29/09/2017;2;2017;23197,40964
30/09/2017;2;2017;21866,1612
01/10/2017;2;2017;19136,14315
02/10/2017;2;2017;22262,40364
03/10/2017;2;2017;24276,26971
04/10/2017;2;2017;22227,02245
05/10/2017;2;2017;20920,96195
06/10/2017;2;2017;21800,22807
07/10/2017;2;2017;21977,73497
08/10/2017;2;2017;20272,98666
09/10/2017;2;2017;23263,93415
10/10/2017;2;2017;24460,88896
11/10/2017;2;2017;24903,11467
12/10/2017;2;2017;22735,35623
13/10/2017;2;2017;23799,73528
14/10/2017;2;2017;22736,35869
15/10/2017;2;2017;20691,87796
16/10/2017;2;2017;22282,8123
17/10/2017;2;2017;21224,13996
18/10/2017;2;2017;21823,05713
19/10/2017;2;2017;22807,5151
20/10/2017;2;2017;23980,12251
21/10/2017;2;2017;22359,58111
22/10/2017;2;2017;21950,76457
23/10/2017;2;2017;25279,08874
24/10/2017;2;2017;25028,9804
25/10/2017;2;2017;24845,44117
26/10/2017;2;2017;24716,48102
27/10/2017;2;2017;25654,47199
28/10/2017;2;2017;24000,69368
29/10/2017;2;2017;21917,10902
30/10/2017;2;2017;24231,21855
31/10/2017;2;2017;25555,69484
